Country/ States/ Union Territories Name,Rural - 2001,Rural - 2011,Urban - 2001,Urban - 2011,Title,X-title,Y-title
Andhra Pradesh,54.5,60.4,76.1,80.1,Literacy rate in India,Literacy rate,State
Arunachal Pradesh,47.8,59.9,78.3,82.9,,,
Assam,59.7,69.3,85.3,88.5,,,
Bihar,43.9,59.8,71.9,76.9,,,
Chhattisgarh,60.5,66,80.6,84,,,
Goa,79.7,86.6,84.4,90,,,
Gujarat,61.3,71.7,81.8,86.3,,,
Haryana,63.2,71.4,79.2,83.1,,,
Himachal Pradesh,75.1,81.9,88.9,91.1,,,
Jammu & Kashmir,49.8,63.2,71.9,77.1,,,
Jharkhand,45.7,61.1,79.1,82.3,,,